Regio,Naam,Url,Afstand,Locatie,Cijfer,Aantal Waarderingen,Aantal Plaatsen Totaal,Postcode
Arnhem,"ZZG Zorggroep, Woonlocatie Meerstaete",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-meerstaete-wijchen-3063264,23 km,Wijchen,9.1,30,27.0,6602 GX
Arnhem,ZZG zorggroep,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-groesbeek-33026,20 km,Groesbeek,9.0,2307,54.57,6561 LE
Arnhem,"Attent Zorg en Behandeling, Tertzio",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-attent-zorg-en-behandeling-tertzio-elst-12569,8 km,Elst,9.2,34,54.57,6661 CP
Arnhem,"RijnWaal Zorggroep, locatie Sint Jozef Lent",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-rijnwaal-zorggroep-locatie-sint-jozef-lent-lent-12650,14 km,Lent,9.5,35,54.57,6663 CP
Arnhem,RijnWaal Zorggroep,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-rijnwaal-zorggroep-gendt-31276,13 km,Gendt,8.8,267,54.57,6691 CX
Arnhem,"RijnWaal Zorggroep, locatie Sint Jozef Gendt",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-rijnwaal-zorggroep-locatie-sint-jozef-gendt-gendt-12625,13 km,Gendt,9.0,36,54.57,6691 CX
Arnhem,"RijnWaal Zorggroep, locatie Sancta Maria",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-rijnwaal-zorggroep-locatie-sancta-maria-huissen-12645,6 km,Huissen,8.7,47,54.57,6851 CC
Arnhem,"De Waalboog, locatie De Honinghoeve",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-de-waalboog-locatie-de-honinghoeve-nijmegen-12667,18 km,Nijmegen,8.6,50,113.0,6544 RA
Arnhem,Kalorama,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-kalorama-beek-ubbergen-11865,18 km,Beek-Ubbergen,8.6,39,54.57,6573 DX
Arnhem,"Pleyade, locatie Thuvine",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pleyade-locatie-thuvine-duiven-12605,9 km,Duiven,8.6,38,54.57,6921 AR
